WBAN,STATION_ID,STATION_NAME,"LATN/LONGW(deg,min,sec)",ELEV(ft),TOWER_HEIGHT(m),TROPICAL,COASTAL,INLAND,"LAT_N(deg,min,sec)","LONG_W(deg,min,sec)"
94703,KOKX,"New York City, NY",405156 / 0725150,85,30,1,1,0,405156,725150
95999,PAEC,"Nome, AK",643041 / 1651742,54,5,0,1,0,643041,1651742
93773,KAKQ,"Norfolk/Richmond, VA",365902 / 0770026,112,20,1,1,0,365902,770026
94049,KLNX,"North Platte, NE",415728 / 1003435,2970,20,0,0,1,415728,1003435
3979,KTLX,"Oklahoma City, OK",351959 / 0971640,1213,15,0,0,1,351959,971640
94980,KOAX,"Omaha, NE",411913 / 0962200,1148,30,0,0,1,411913,962200
3816,KPAH,"Paducah, KY",370406 / 0884619,392,30,0,0,1,370406,884619
24155,KPDT,"Pendleton, OR",454126 / 1185110,1515,10,0,1,0,454126,1185110
93771,KDIX,"Philadelphia, PA",395649 / 0742439,149,20,0,0,1,395649,742439
23104,KIWA,"Phoenix, AZ",331721 / 1114012,1353,10,0,0,1,331721,1114012
4832,KPBZ,"Pittsburgh, PA",403154 / 0801305,1185,20,0,0,1,403154,801305
4107,KSFX,"Pocatello/Idaho Falls, ID",430621 / 1124110,4474,10,0,0,1,430621,1124110
54762,KGYX,"Portland, ME",435329 / 0701523,409,10,1,1,0,435329,701523
94288,KRTX,"Portland, OR",454253 / 1225755,1572,30,0,0,1,454253,1225755
3021,KPUX,"Pueblo, CO",382734 / 1041053,5249,10,0,0,1,382734,1041053
93772,KRAX,"Raleigh/Durham, NC",353956 / 0782923,348,30,0,0,1,353956,782923
94047,KUDX,"Rapid City, SD",440730 / 1024947,3016,30,0,0,1,440730,1024947
53104,KRGX,"Reno, NV",394515 / 1192744,8299,20,0,0,1,394515,1192744
24061,KRIW,"Riverton, WY",430358 / 1082838,5568,10,0,0,0,430358,1082838
53831,KFCX,"Roanoke, VA",370128 / 0801626,2868,20,1,1,0,370128,801626
53824,KJGX,"Robins AFB, GA",324031 / 0832104,521,20,0,0,1,324031,832104
93235,KDAX,"Sacramento, CA",383004 / 1214040,30,30,0,0,1,383004,1214040
3982,KLSX,"Saint Louis, MO",384156 / 0904058,608,30,0,0,1,384156,904058
4104,KMTX,"Salt Lake City, UT",411546 / 1122652,6460,30,0,0,1,411546,1122652
23034,KSJT,"San Angelo, TX",312217 / 1002933,1890,30,0,0,1,312217,1002933
53115,KNKX,"San Diego, CA",325508 / 1170231,955,20,0,1,0,325508,1170231
93236,KMUX,"San Francisco, CA",370919 / 1215354,3469,20,0,1,0,370919,1215354
53111,KHNX,"San Joaquin Valley, CA",361851 / 1193756,243,20,0,0,1,361851,1193756
99599,TJUA,"San Juan, PR",180656 / 0660441,2794,30,1,1,0,180656,660441
53117,KSOX,"Santa Ana Mountains, CA",334904 / 1173809,3027,15,0,0,1,334904,1173809
94287,KATX,"Seattle/Tacoma, WA",481140 / 1222945,494,30,0,1,0,481140,1222945
13957,KSHV,"Shreveport, LA",322703 / 0935029,273,30,1,1,0,322703,935029
14944,KFSD,"Sioux Falls, SD",433516 / 0964346,1430,10,0,0,1,433516,964346
99699,PACG,"Sitka, AK",565110 / 1353145,209,10,0,0,1,565110,1353145
22548,PHKI,"South Kauai, HI",215339 / 1593308,179,30,1,1,0,215339,1593308
99799,PHWA,"South Shore, HI",190542 / 1553408,1380,20,1,1,0,190542,1553408
4106,KOTX,"Spokane, WA",474049 / 1173736,2384,10,0,0,1,474049,1173736
13995,KSGF,"Springfield, MO",371407 / 0932402,1278,20,0,0,1,371407,932402
54764,KCCX,"State College, PA",405523 / 0780013,2405,20,0,0,1,405523,780013
93767,KLWX,"Sterling, VA",385831 / 0772840,272,25,0,0,1,385831,772840
93805,KTLH,"Tallahassee, FL",302351 / 0841944,63,30,1,1,0,302351,841944
92801,KTBW,"Tampa, FL",274220 / 0822406,41,20,1,1,0,274220,822406
3986,KTWX,"Topeka, KS",385949 / 0961357,1367,10,0,0,1,385949,961357
53112,KEMX,"Tucson, AZ",315337 / 1103749,5205,30,0,0,1,315337,1103749
3984,KINX,"Tulsa, OK",361030 / 0953353,668,20,0,0,1,361030,953353
3995,KVNX,"Vance AFB, OK",364427 / 0980740,1210,10,0,0,1,364427,980740
93234,KVBX,"Vandenberg AFB, CA",345017 / 1202349,1223,20,0,1,0,345017,1202349
3928,KICT,"Wichita, KS",373917 / 0972634,1335,10,0,0,1,373917,972634
93774,KLTX,"Wilmington, NC",335922 / 0782544,64,20,0,0,1,335922,782544
53116,KYUX,"Yuma, AZ",322943 / 1143924,174,10,0,0,1,322943,1143924
